kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
10975146,K01300.01,Kepler-808 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,0.63133171,3.41e-07,-3.41e-07,133.94488,0.000399,-0.000399,0.726,0.002,-0.519,1.1487,0.0186,-0.0186,434.5,6,-6,1.2,0.09,-0.1,1322.0,,,726.72,212.51,-196.53,95.80,1,q1_q17_dr25_tce,4441.00,133.00,-146.00,4.710,0.056,-0.032,0.5300,0.0380,-0.0460,19h26m22.58s,+48d26m44.2s,14.285,
10538176,K01301.01,Kepler-284 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.69905011,4.307e-05,-4.307e-05,184.9868,0.00291,-0.00291,0.663,0.268,-0.442,2.9899,0.0891,-0.0891,797.4,29.5,-29.5,2.62,0.22,-0.17,686.0,,,52.55,12.92,-9.27,30.40,1,q1_q17_dr25_tce,5291.00,84.00,-73.00,4.489,0.058,-0.065,0.8820,0.0720,-0.0590,19h32m35.16s,+47d43m46.7s,15.824,
7376983,K01358.02,,CANDIDATE,CANDIDATE,0.9990,0,0,0,0,8.74292005,3.311e-05,-3.311e-05,358.59286,0.00266,-0.00266,0.025,0.416,-0.025,2.6277,0.0846,-0.0846,779.5,28.2,-28.2,1.92,0.18,-0.13,643.0,,,40.33,15.41,-10.13,30.70,2,q1_q17_dr25_tce,4769.00,172.00,-172.00,4.622,0.024,-0.060,0.7140,0.0680,-0.0490,19h43m18.12s,+42d56m36.2s,15.505,
7376983,K01358.03,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,3.64830183,1.621e-05,-1.621e-05,355.39128,0.00307,-0.00307,0.063,0.396,-0.062,1.9985,0.0929,-0.0929,371.7,21,-21,1.33,0.12,-0.09,860.0,,,129.44,49.47,-32.50,19.90,3,q1_q17_dr25_tce,4769.00,172.00,-172.00,4.622,0.024,-0.060,0.7140,0.0680,-0.0490,19h43m18.12s,+42d56m36.2s,15.505,
7376983,K01358.04,,CANDIDATE,CANDIDATE,0.9330,0,0,0,0,2.345863002,9.55e-06,-9.55e-06,354.11185,0.00264,-0.00264,0.035,0.438,-0.035,1.6795,0.0886,-0.0886,316.7,18.4,-18.4,1.23,0.11,-0.09,997.0,,,233.38,89.19,-58.60,19.60,4,q1_q17_dr25_tce,4769.00,172.00,-172.00,4.622,0.024,-0.060,0.7140,0.0680,-0.0490,19h43m18.12s,+42d56m36.2s,15.505,
6946199,K01359.01,Kepler-1744 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,37.1011418,0.0001187,-0.0001187,370.4803,0.00202,-0.00202,0.41,0.473,-0.225,5.5556,0.0788,-0.0788,1357.5,27.4,-27.4,3.19,0.88,-0.35,532.0,,,18.95,15.73,-6.00,55.20,2,q1_q17_dr25_tce,5986.00,179.00,-215.00,4.527,0.060,-0.192,0.8500,0.2340,-0.0940,19h24m04.97s,+42d27m44.8s,15.229,
6946199,K01359.02,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,104.8205868,0.0002329,-0.0002329,374.83154,0.0015,-0.0015,0.918,0.006,-0.01,4.4794,0.0878,-0.0878,3920.1,75.6,-75.6,6.45,1.78,-0.71,376.0,,,4.74,3.94,-1.50,76.60,1,q1_q17_dr25_tce,5986.00,179.00,-215.00,4.527,0.060,-0.192,0.8500,0.2340,-0.0940,19h24m04.97s,+42d27m44.8s,15.229,
11497958,K01422.03,Kepler-296 b,CONFIRMED,CANDIDATE,0.9850,0,0,0,0,10.8644095,4.884e-05,-4.884e-05,131.12833,0.00347,-0.00347,0.763,0.015,-0.551,1.853,0.119,-0.119,748.7,51.4,-51.4,1.14,0.15,-0.17,363.0,,,4.09,1.53,-1.39,16.80,3,q1_q17_dr25_tce,3526.00,71.00,-78.00,4.866,0.066,-0.044,0.3830,0.0480,-0.0580,19h06m09.60s,+49d26m14.4s,15.921,
11177707,K01423.01,Kepler-841 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,124.4197175,0.0003491,-0.0003491,150.59616,0.00193,-0.00193,0.017,0.39,-0.017,3.7197,0.082,-0.082,4107,118,-118,10.3,1.77,-5.3,416.0,,,7.07,3.19,-5.52,39.90,1,q1_q17_dr25_tce,5066.00,70.00,-90.00,3.974,0.569,-0.100,1.6590,0.2850,-0.8540,18h57m00.31s,+48d48m34.6s,15.740,
11611600,K01424.01,Kepler-842 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.219568047,1.074e-06,-1.074e-06,133.460233,0.000741,-0.000741,0.067,0.397,-0.067,1.5681,0.026,-0.026,494.9,9.1,-9.1,1.51,0.17,-0.1,1252.0,,,578.96,211.93,-132.79,65.90,1,q1_q17_dr25_tce,4838.00,130.00,-145.00,4.625,0.027,-0.059,0.7010,0.0760,-0.0470,19h29m18.86s,+49d39m12.8s,15.127,
